permno,fyear,EXECID,grantdate,P_month,T,r,sigma,d,security,ret,retlag,val_lag,portfolio,delta,vega,vested,tobinsq,assets,leverage,cfo
19561,2010,23288,20100228,2,10,0.03237,0.34870,0.02779,0,1.00059,-0.62638,8.051,10.282,6.033,6.086,0.45763,1.59926,11.03576,0.13023,0.10419
19561,2010,23288,20100228,2,10,0.03237,0.34870,0.02779,1,1.00059,-0.62638,7.830,10.282,6.033,6.086,0.45763,1.59926,11.03576,0.13023,0.10419
19561,2011,23288,20110228,2,10,0.01961,0.37501,0.03094,0,0.13666,1.00059,8.102,10.582,6.360,6.365,0.55185,1.65948,11.13555,0.10916,0.04757
19561,2011,23288,20110228,2,10,0.01961,0.37501,0.03094,1,0.13666,1.00059,8.360,10.582,6.360,6.365,0.55185,1.65948,11.13555,0.10916,0.04757
23077,2007,03847,20070930,9,10,0.03614,0.12839,0.02942,0,0.02709,0.11335,6.686,11.140,7.377,6.636,0.80095,2.32736,9.21374,0.20907,0.11253
23077,2007,03847,20070930,9,10,0.03614,0.12839,0.02942,1,0.02709,0.11335,7.748,11.140,7.377,6.636,0.80095,2.32736,9.21374,0.20907,0.11253
23077,2008,03847,20080831,8,10,0.02888,0.13774,0.02986,0,0.08715,0.02709,7.231,11.089,7.314,6.693,0.76596,2.20781,9.26540,0.22223,0.11844
23077,2008,03847,20080831,8,10,0.02888,0.13774,0.02986,1,0.08715,0.02709,7.814,11.089,7.314,6.693,0.76596,2.20781,9.26540,0.22223,0.11844
23077,2009,03847,20090831,8,10,0.03778,0.16464,0.03610,0,-0.24088,0.08715,7.314,10.490,6.429,6.527,0.75338,1.99518,9.17629,0.26667,0.11045
23077,2009,03847,20090831,8,10,0.03778,0.16464,0.03610,1,-0.24088,0.08715,7.868,10.490,6.429,6.527,0.75338,1.99518,9.17629,0.26667,0.11045
23077,2010,03847,20100831,8,10,0.03401,0.17730,0.03806,0,0.18769,-0.20974,7.314,11.161,7.099,6.682,0.72750,2.29013,9.21798,0.20014,0.13061
